row_id,previous_gap_seconds,previous_threshold_seconds,gap_minus_threshold_seconds,previous_same_author,inferred_previous_completion,inferred_previous_state,state_same_author_cross
119,2106.789,18.0,2088.789,0.0,-1.0,3.0,6.0
120,25590.64,18.0,25572.64,0.0,-1.0,3.0,6.0
121,171950.604,18.0,171932.604,0.0,-1.0,3.0,6.0
122,251117.999,18.0,251099.999,0.0,-1.0,3.0,6.0
123,3648.294,18.0,3630.294,0.0,-1.0,3.0,6.0
124,213.015,18.0,195.015,0.0,1.0,2.0,4.0
125,80223.228,18.0,80205.228,0.0,-1.0,3.0,6.0
126,144930.868,18.0,144912.868,0.0,-1.0,3.0,6.0
127,143386.023,14.616,143371.407,0.0,-1.0,3.0,6.0
128,77249.098,18.0,77231.098,0.0,-1.0,3.0,6.0
129,117622.04,18.0,117604.04,0.0,-1.0,3.0,6.0
130,356794.252,10.2,356784.052,0.0,-1.0,3.0,6.0
131,34028.08,18.0,34010.08,0.0,-1.0,3.0,6.0
132,70773.04,18.0,70755.04,0.0,-1.0,3.0,6.0
133,7716.572,18.0,7698.572,0.0,-1.0,3.0,6.0
134,4052.735,18.0,4034.735,0.0,-1.0,3.0,6.0
135,170383.742,18.0,170365.742,0.0,-1.0,3.0,6.0
136,377839.77,18.0,377821.77,0.0,-1.0,3.0,6.0
137,1224.946,18.0,1206.946,0.0,1.0,2.0,4.0
138,252465.52,18.0,252447.52,0.0,-1.0,3.0,6.0
139,653.727,18.0,635.727,0.0,1.0,2.0,4.0
140,744.061,18.0,726.061,0.0,1.0,2.0,4.0
141,76560.094,18.0,76542.094,0.0,-1.0,3.0,6.0
142,95504.672,18.0,95486.672,0.0,-1.0,3.0,6.0
143,287.002,15.307,271.695,0.0,1.0,2.0,4.0
144,2044.364,14.0,2030.364,0.0,-1.0,3.0,6.0
145,72525.136,18.0,72507.136,0.0,-1.0,3.0,6.0
146,170726.849,18.0,170708.849,0.0,-1.0,3.0,6.0
147,296116.886,18.0,296098.886,0.0,-1.0,3.0,6.0
148,353098.728,18.0,353080.728,0.0,-1.0,3.0,6.0
149,14978.705,18.0,14960.705,0.0,-1.0,3.0,6.0
150,15838.949,18.0,15820.949,0.0,-1.0,3.0,6.0
151,9755.133,18.0,9737.133,0.0,-1.0,3.0,6.0
152,2646.361,18.0,2628.361,0.0,-1.0,3.0,6.0
153,492317.67,18.0,492299.67,0.0,-1.0,3.0,6.0
154,266.893,10.2,256.693,0.0,1.0,2.0,4.0
155,3305.796,18.0,3287.796,0.0,-1.0,3.0,6.0
156,4203.882,18.0,4185.882,0.0,-1.0,3.0,6.0
157,9757.186,18.0,9739.186,0.0,-1.0,3.0,6.0
158,276.72,18.0,258.72,0.0,1.0,2.0,4.0
159,595.748,18.0,577.748,0.0,1.0,2.0,4.0
160,323.515,18.0,305.515,0.0,1.0,2.0,4.0
161,391373.777,18.0,391355.777,0.0,-1.0,3.0,6.0
162,8798.171,18.0,8780.171,0.0,-1.0,3.0,6.0
163,3907.563,18.0,3889.563,0.0,-1.0,3.0,6.0
164,110236.976,18.0,110218.976,0.0,-1.0,3.0,6.0
165,2524.239,16.483,2507.756,0.0,-1.0,3.0,6.0
166,9210.456,18.0,9192.456,0.0,-1.0,3.0,6.0
167,73414.632,18.0,73396.632,0.0,-1.0,3.0,6.0
168,470941.425,18.0,470923.425,0.0,-1.0,3.0,6.0
169,62349.542,18.0,62331.542,0.0,-1.0,3.0,6.0
170,198805.174,18.0,198787.174,0.0,-1.0,3.0,6.0
171,7884.869,18.0,7866.869,0.0,-1.0,3.0,6.0
172,13500.45,18.0,13482.45,0.0,-1.0,3.0,6.0
173,72942.626,18.0,72924.626,0.0,-1.0,3.0,6.0
174,112988.89,18.0,112970.89,0.0,-1.0,3.0,6.0
175,295055.189,18.0,295037.189,0.0,-1.0,3.0,6.0
176,8214.345,18.0,8196.345,0.0,-1.0,3.0,6.0
177,165468.008,18.0,165450.008,0.0,-1.0,3.0,6.0
178,1356.087,18.0,1338.087,0.0,1.0,2.0,4.0
179,2650.445,18.0,2632.445,0.0,-1.0,3.0,6.0
180,162468.995,18.0,162450.995,0.0,-1.0,3.0,6.0
181,11784.429,18.0,11766.429,0.0,-1.0,3.0,6.0
182,4373.558,18.0,4355.558,0.0,-1.0,3.0,6.0
183,61027.227,18.0,61009.227,0.0,-1.0,3.0,6.0
184,9866.388,18.0,9848.388,0.0,-1.0,3.0,6.0
185,714.476,18.0,696.476,0.0,1.0,2.0,4.0
186,23599.825,18.0,23581.825,0.0,-1.0,3.0,6.0
187,647.258,18.0,629.258,0.0,1.0,2.0,4.0
188,1686.381,16.04,1670.341,0.0,1.0,2.0,4.0
189,1759.733,18.0,1741.733,0.0,1.0,2.0,4.0
190,268.786,6.0,262.786,0.0,1.0,2.0,4.0
191,308.636,18.0,290.636,0.0,1.0,2.0,4.0
192,457.133,18.0,439.133,0.0,1.0,2.0,4.0
193,52329.164,18.0,52311.164,0.0,-1.0,3.0,6.0
194,33125.546,18.0,33107.546,0.0,-1.0,3.0,6.0
195,17678.925,18.0,17660.925,0.0,-1.0,3.0,6.0
196,1940.477,18.0,1922.477,0.0,-1.0,3.0,6.0
197,90513.927,18.0,90495.927,0.0,-1.0,3.0,6.0
198,67.529,18.0,49.529,0.0,1.0,2.0,4.0
199,1055.659,18.0,1037.659,0.0,1.0,2.0,4.0
200,133.171,18.0,115.171,0.0,1.0,2.0,4.0
201,69903.871,18.0,69885.871,0.0,-1.0,3.0,6.0
202,2674.69,18.0,2656.69,0.0,-1.0,3.0,6.0
203,87649.247,18.0,87631.247,0.0,-1.0,3.0,6.0
204,150001.972,18.0,149983.972,0.0,-1.0,3.0,6.0
205,251111.682,18.0,251093.682,0.0,-1.0,3.0,6.0
206,31387.501,18.0,31369.501,0.0,-1.0,3.0,6.0
207,262808.862,18.0,262790.862,0.0,-1.0,3.0,6.0
208,2371.944,18.0,2353.944,0.0,-1.0,3.0,6.0
209,111230.196,18.0,111212.196,0.0,-1.0,3.0,6.0
210,343360.999,18.0,343342.999,0.0,-1.0,3.0,6.0
211,917.073,18.0,899.073,0.0,1.0,2.0,4.0
212,33047.46,18.0,33029.46,0.0,-1.0,3.0,6.0
213,410.953,18.0,392.953,0.0,1.0,2.0,4.0
214,262770.071,18.0,262752.071,0.0,-1.0,3.0,6.0
215,241558.782,18.0,241540.782,0.0,-1.0,3.0,6.0
216,524581.769,18.0,524563.769,0.0,-1.0,3.0,6.0
217,169382.727,18.0,169364.727,0.0,-1.0,3.0,6.0
218,35085.334,18.0,35067.334,0.0,-1.0,3.0,6.0
219,158066.68,7.1,158059.58,0.0,-1.0,3.0,6.0
220,12891.322,12.733,12878.589,0.0,-1.0,3.0,6.0
221,127023.677,18.0,127005.677,0.0,-1.0,3.0,6.0
222,81584.42,18.0,81566.42,0.0,-1.0,3.0,6.0
223,1877.793,18.0,1859.793,0.0,-1.0,3.0,6.0
224,206.606,18.0,188.606,0.0,1.0,2.0,4.0
225,7096.558,18.0,7078.558,0.0,-1.0,3.0,6.0
226,465255.662,18.0,465237.662,0.0,-1.0,3.0,6.0
227,251728.894,18.0,251710.894,0.0,-1.0,3.0,6.0
228,175030.47,18.0,175012.47,0.0,-1.0,3.0,6.0
229,87071.206,18.0,87053.206,0.0,-1.0,3.0,6.0
230,91340.72,18.0,91322.72,0.0,-1.0,3.0,6.0
231,482251.941,18.0,482233.941,0.0,-1.0,3.0,6.0
232,579.102,18.0,561.102,0.0,1.0,2.0,4.0
233,576794.275,18.0,576776.275,0.0,-1.0,3.0,6.0
234,688118.337,18.0,688100.337,0.0,-1.0,3.0,6.0
235,196168.625,18.0,196150.625,0.0,-1.0,3.0,6.0
236,784599.004,18.0,784581.004,0.0,-1.0,3.0,6.0
237,220861.995,14.7,220847.295,0.0,-1.0,3.0,6.0
238,104635.118,7.866,104627.252,0.0,-1.0,3.0,6.0
239,394879.546,18.0,394861.546,0.0,-1.0,3.0,6.0
240,1183.158,18.0,1165.158,0.0,1.0,2.0,4.0
241,172511.307,18.0,172493.307,0.0,-1.0,3.0,6.0
242,1164045.591,18.0,1164027.591,0.0,-1.0,3.0,6.0
243,24996.682,18.0,24978.682,0.0,-1.0,3.0,6.0
244,33568.324,18.0,33550.324,0.0,-1.0,3.0,6.0
245,249116.131,18.0,249098.131,0.0,-1.0,3.0,6.0
246,48930.74,18.0,48912.74,0.0,-1.0,3.0,6.0
247,57141.461,18.0,57123.461,0.0,-1.0,3.0,6.0
248,194525.861,18.0,194507.861,0.0,-1.0,3.0,6.0
249,2753.252,18.0,2735.252,0.0,-1.0,3.0,6.0
250,1508.505,18.0,1490.505,0.0,1.0,2.0,4.0
251,41900.522,18.0,41882.522,0.0,-1.0,3.0,6.0
252,12955.973,18.0,12937.973,0.0,-1.0,3.0,6.0
253,27673.097,18.0,27655.097,0.0,-1.0,3.0,6.0
254,43570.815,18.0,43552.815,0.0,-1.0,3.0,6.0
255,2528.785,18.0,2510.785,0.0,-1.0,3.0,6.0
256,76691.025,18.0,76673.025,0.0,-1.0,3.0,6.0
257,6742.263,18.0,6724.263,0.0,-1.0,3.0,6.0
258,604006.687,18.0,603988.687,0.0,-1.0,3.0,6.0
259,274419.756,18.0,274401.756,0.0,-1.0,3.0,6.0
260,526073.828,18.0,526055.828,0.0,-1.0,3.0,6.0
261,579.981,18.0,561.981,0.0,1.0,2.0,4.0
262,122.13,17.666,104.464,0.0,1.0,2.0,4.0
263,3212.688,18.0,3194.688,0.0,-1.0,3.0,6.0
264,988.275,18.0,970.275,0.0,1.0,2.0,4.0
265,1539.537,18.0,1521.537,0.0,1.0,2.0,4.0
266,1100.643,18.0,1082.643,0.0,1.0,2.0,4.0
267,555.138,11.2,543.938,0.0,1.0,2.0,4.0
268,19681.805,18.0,19663.805,0.0,-1.0,3.0,6.0
269,1935.331,18.0,1917.331,0.0,-1.0,3.0,6.0
270,521045.168,18.0,521027.168,0.0,-1.0,3.0,6.0
271,321836.5,8.833,321827.667,0.0,-1.0,3.0,6.0
272,12808.688,18.0,12790.688,0.0,-1.0,3.0,6.0
273,71044.014,11.56,71032.454,0.0,-1.0,3.0,6.0
274,42592.231,18.0,42574.231,0.0,-1.0,3.0,6.0
275,494677.481,18.0,494659.481,0.0,-1.0,3.0,6.0
276,214861.574,18.0,214843.574,0.0,-1.0,3.0,6.0
277,66912.222,18.0,66894.222,0.0,-1.0,3.0,6.0
278,240601.244,18.0,240583.244,0.0,-1.0,3.0,6.0
279,38084.066,15.84,38068.226,0.0,-1.0,3.0,6.0
280,100212.102,18.0,100194.102,0.0,-1.0,3.0,6.0
281,1544.942,18.0,1526.942,0.0,1.0,2.0,4.0
282,348962.364,9.258,348953.106,0.0,-1.0,3.0,6.0
283,64083.531,18.0,64065.531,0.0,-1.0,3.0,6.0
284,249005.248,10.8,248994.448,0.0,-1.0,3.0,6.0
285,80484.822,18.0,80466.822,0.0,-1.0,3.0,6.0
286,15544.099,18.0,15526.099,0.0,-1.0,3.0,6.0
287,179330.195,18.0,179312.195,0.0,-1.0,3.0,6.0
288,13300.184,10.724,13289.46,0.0,-1.0,3.0,6.0
289,971.773,18.0,953.773,0.0,1.0,2.0,4.0
290,50682.571,18.0,50664.571,0.0,-1.0,3.0,6.0
291,21.361,18.0,3.361,0.0,1.0,2.0,4.0
292,69.387,18.0,51.387,0.0,1.0,2.0,4.0
293,176860.682,6.133,176854.549,0.0,-1.0,3.0,6.0
294,343641.504,18.0,343623.504,0.0,-1.0,3.0,6.0
295,191515.66,18.0,191497.66,0.0,-1.0,3.0,6.0
296,146.683,18.0,128.683,0.0,1.0,2.0,4.0
297,146.683,18.0,128.683,0.0,1.0,2.0,4.0
298,86195.811,18.0,86177.811,0.0,-1.0,3.0,6.0
299,414067.765,18.0,414049.765,0.0,-1.0,3.0,6.0
300,12745.967,7.433,12738.534,0.0,-1.0,3.0,6.0
301,3539.547,11.0,3528.547,0.0,-1.0,3.0,6.0
302,1833.555,18.0,1815.555,0.0,-1.0,3.0,6.0
303,1750.165,18.0,1732.165,0.0,1.0,2.0,4.0
304,1474.575,18.0,1456.575,0.0,1.0,2.0,4.0
305,181857.505,18.0,181839.505,0.0,-1.0,3.0,6.0
306,64219.023,18.0,64201.023,0.0,-1.0,3.0,6.0
307,67572.726,18.0,67554.726,0.0,-1.0,3.0,6.0
308,6624.127,18.0,6606.127,0.0,-1.0,3.0,6.0
309,1773.397,18.0,1755.397,0.0,1.0,2.0,4.0
310,44984.477,18.0,44966.477,0.0,-1.0,3.0,6.0
311,3327.016,7.9,3319.116,0.0,-1.0,3.0,6.0
312,274465.836,18.0,274447.836,0.0,-1.0,3.0,6.0
313,110140.987,18.0,110122.987,0.0,-1.0,3.0,6.0
314,110140.987,18.0,110122.987,0.0,-1.0,3.0,6.0
315,110140.987,18.0,110122.987,0.0,-1.0,3.0,6.0
316,88776.451,12.866,88763.585,0.0,-1.0,3.0,6.0
317,356227.079,18.0,356209.079,0.0,-1.0,3.0,6.0
318,232012.023,18.0,231994.023,0.0,-1.0,3.0,6.0
319,6036.535,7.4,6029.135,0.0,-1.0,3.0,6.0
320,11659.637,18.0,11641.637,0.0,-1.0,3.0,6.0
321,60621.471,18.0,60603.471,0.0,-1.0,3.0,6.0
322,2874.409,18.0,2856.409,0.0,-1.0,3.0,6.0
323,1127.912,18.0,1109.912,0.0,1.0,2.0,4.0
324,136.768,18.0,118.768,0.0,1.0,2.0,4.0
325,73220.857,18.0,73202.857,0.0,-1.0,3.0,6.0
326,28671.315,18.0,28653.315,0.0,-1.0,3.0,6.0
327,237094.93,12.068,237082.862,0.0,-1.0,3.0,6.0
328,10815.002,18.0,10797.002,0.0,-1.0,3.0,6.0
329,1157.542,18.0,1139.542,0.0,1.0,2.0,4.0
330,444946.45,18.0,444928.45,0.0,-1.0,3.0,6.0
331,372.141,8.72,363.421,0.0,1.0,2.0,4.0
332,4312.075,11.133,4300.942,0.0,-1.0,3.0,6.0
333,281.834,18.0,263.834,0.0,1.0,2.0,4.0
334,4622.787,18.0,4604.787,0.0,-1.0,3.0,6.0
335,2087.589,18.0,2069.589,0.0,-1.0,3.0,6.0
336,47097.466,18.0,47079.466,0.0,-1.0,3.0,6.0
337,440642.687,13.2,440629.487,0.0,-1.0,3.0,6.0
338,42579.664,18.0,42561.664,0.0,-1.0,3.0,6.0
339,39108.553,18.0,39090.553,0.0,-1.0,3.0,6.0
340,215048.764,18.0,215030.764,0.0,-1.0,3.0,6.0
341,514854.806,18.0,514836.806,0.0,-1.0,3.0,6.0
342,1339.094,18.0,1321.094,0.0,1.0,2.0,4.0
343,148.058,18.0,130.058,0.0,1.0,2.0,4.0
344,13165.692,18.0,13147.692,0.0,-1.0,3.0,6.0
345,31.41,18.0,13.41,0.0,1.0,2.0,4.0
346,5072.562,18.0,5054.562,0.0,-1.0,3.0,6.0
347,2412.163,18.0,2394.163,0.0,-1.0,3.0,6.0
348,73071.81,18.0,73053.81,0.0,-1.0,3.0,6.0
349,77997.338,18.0,77979.338,0.0,-1.0,3.0,6.0
350,194565.387,17.066,194548.321,0.0,-1.0,3.0,6.0
351,220494.857,18.0,220476.857,0.0,-1.0,3.0,6.0
352,343319.273,18.0,343301.273,0.0,-1.0,3.0,6.0
353,194751.528,10.724,194740.804,0.0,-1.0,3.0,6.0
354,463700.761,18.0,463682.761,0.0,-1.0,3.0,6.0
355,163674.441,18.0,163656.441,0.0,-1.0,3.0,6.0
356,9458.599,18.0,9440.599,0.0,-1.0,3.0,6.0
357,3305.397,18.0,3287.397,0.0,-1.0,3.0,6.0
358,561.501,18.0,543.501,0.0,1.0,2.0,4.0
359,843777.571,18.0,843759.571,0.0,-1.0,3.0,6.0
360,23530.446,18.0,23512.446,0.0,-1.0,3.0,6.0
361,6993.665,18.0,6975.665,0.0,-1.0,3.0,6.0
362,848075.39,10.724,848064.666,0.0,-1.0,3.0,6.0
363,26053.043,18.0,26035.043,0.0,-1.0,3.0,6.0
364,727.115,10.2,716.915,0.0,1.0,2.0,4.0
365,189778.59,18.0,189760.59,0.0,-1.0,3.0,6.0
366,430930.422,18.0,430912.422,0.0,-1.0,3.0,6.0
367,494150.684,18.0,494132.684,0.0,-1.0,3.0,6.0
368,273748.248,18.0,273730.248,0.0,-1.0,3.0,6.0
369,13896.186,18.0,13878.186,0.0,-1.0,3.0,6.0
370,3229.703,18.0,3211.703,0.0,-1.0,3.0,6.0
371,24517.58,18.0,24499.58,0.0,-1.0,3.0,6.0
372,78962.475,18.0,78944.475,0.0,-1.0,3.0,6.0
373,8649.755,18.0,8631.755,0.0,-1.0,3.0,6.0
374,240621.714,18.0,240603.714,0.0,-1.0,3.0,6.0
375,30983.628,18.0,30965.628,0.0,-1.0,3.0,6.0
376,11994.307,18.0,11976.307,0.0,-1.0,3.0,6.0
377,53021.757,18.0,53003.757,0.0,-1.0,3.0,6.0
378,30222.023,11.133,30210.89,0.0,-1.0,3.0,6.0
379,500.824,18.0,482.824,0.0,1.0,2.0,4.0
380,60692.107,18.0,60674.107,0.0,-1.0,3.0,6.0
381,25828.281,7.0,25821.281,0.0,-1.0,3.0,6.0
382,4252.074,18.0,4234.074,0.0,-1.0,3.0,6.0
383,1491.957,18.0,1473.957,0.0,1.0,2.0,4.0
384,6245.49,18.0,6227.49,0.0,-1.0,3.0,6.0
385,56108.816,18.0,56090.816,0.0,-1.0,3.0,6.0
386,81881.651,18.0,81863.651,0.0,-1.0,3.0,6.0
387,3431.82,18.0,3413.82,0.0,-1.0,3.0,6.0
388,85894.583,18.0,85876.583,0.0,-1.0,3.0,6.0
389,85894.583,18.0,85876.583,0.0,-1.0,3.0,6.0
390,348847.129,18.0,348829.129,0.0,-1.0,3.0,6.0
391,47119.948,18.0,47101.948,0.0,-1.0,3.0,6.0
392,120678.141,12.2,120665.941,0.0,-1.0,3.0,6.0
393,317.873,18.0,299.873,0.0,1.0,2.0,4.0
394,293086.701,14.5,293072.201,0.0,-1.0,3.0,6.0
395,6671.674,18.0,6653.674,0.0,-1.0,3.0,6.0
396,463.031,11.133,451.898,0.0,1.0,2.0,4.0
397,44425.605,18.0,44407.605,0.0,-1.0,3.0,6.0
398,58522.838,0.0,58522.838,0.0,-1.0,3.0,6.0
399,85627.837,18.0,85609.837,0.0,-1.0,3.0,6.0
400,199618.802,18.0,199600.802,0.0,-1.0,3.0,6.0
401,473257.141,18.0,473239.141,0.0,-1.0,3.0,6.0
402,223952.579,10.724,223941.855,0.0,-1.0,3.0,6.0
403,43157.851,18.0,43139.851,0.0,-1.0,3.0,6.0
404,43157.851,18.0,43139.851,0.0,-1.0,3.0,6.0
405,18321.78,18.0,18303.78,0.0,-1.0,3.0,6.0
406,880.769,18.0,862.769,0.0,1.0,2.0,4.0
407,14737.236,18.0,14719.236,0.0,-1.0,3.0,6.0
408,165911.004,18.0,165893.004,0.0,-1.0,3.0,6.0
409,352751.871,18.0,352733.871,0.0,-1.0,3.0,6.0
410,3698.996,0.0,3698.996,0.0,-1.0,3.0,6.0
411,109431.584,18.0,109413.584,0.0,-1.0,3.0,6.0
412,38369.838,18.0,38351.838,0.0,-1.0,3.0,6.0
413,402129.299,18.0,402111.299,0.0,-1.0,3.0,6.0
414,21241.123,18.0,21223.123,0.0,-1.0,3.0,6.0
415,2337.251,18.0,2319.251,0.0,-1.0,3.0,6.0
416,2118.379,18.0,2100.379,0.0,-1.0,3.0,6.0
417,51821.504,18.0,51803.504,0.0,-1.0,3.0,6.0
418,412544.596,18.0,412526.596,0.0,-1.0,3.0,6.0
419,11447.555,18.0,11429.555,0.0,-1.0,3.0,6.0
420,165038.149,18.0,165020.149,0.0,-1.0,3.0,6.0
421,134294.41,6.041,134288.369,0.0,-1.0,3.0,6.0
422,418951.761,18.0,418933.761,0.0,-1.0,3.0,6.0
423,252204.036,18.0,252186.036,0.0,-1.0,3.0,6.0
424,178935.82,18.0,178917.82,0.0,-1.0,3.0,6.0
