row_id,user_tab_positive_support,user_tab_negative_support
186,23.0,40.0
187,23.0,40.0
188,23.0,40.0
189,23.0,40.0
190,23.0,40.0
191,23.0,40.0
192,23.0,40.0
193,23.0,40.0
194,23.0,40.0
195,23.0,40.0
196,23.0,40.0
197,23.0,40.0
198,23.0,40.0
199,23.0,40.0
200,23.0,40.0
201,23.0,40.0
202,23.0,40.0
203,23.0,40.0
204,11.0,5.0
205,0.0,1.0
206,11.0,5.0
207,8.0,13.0
208,0.0,65.0
209,0.0,65.0
210,0.0,10.0
211,0.0,10.0
212,0.0,10.0
213,0.0,10.0
214,8.0,7.0
215,15.0,9.0
216,0.0,1.0
217,44.0,19.0
218,44.0,19.0
219,44.0,19.0
220,4.0,0.0
221,44.0,19.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,43.0
227,8.0,24.0
228,2.0,47.0
229,8.0,24.0
230,6.0,3.0
231,1.0,27.0
232,1.0,27.0
233,3.0,7.0
234,7.0,8.0
235,7.0,8.0
236,0.0,0.0
237,6.0,17.0
238,6.0,17.0
239,1.0,1.0
240,0.0,0.0
241,0.0,0.0
242,0.0,3.0
243,8.0,5.0
244,23.0,26.0
245,1.0,2.0
246,32.0,23.0
247,32.0,23.0
248,37.0,67.0
249,37.0,67.0
250,37.0,67.0
251,37.0,67.0
252,37.0,67.0
253,37.0,67.0
254,37.0,67.0
255,37.0,67.0
256,37.0,67.0
257,37.0,67.0
258,11.0,30.0
259,11.0,30.0
260,19.0,2.0
261,7.0,0.0
262,7.0,0.0
263,7.0,0.0
264,7.0,0.0
265,7.0,0.0
266,7.0,0.0
267,7.0,0.0
268,7.0,0.0
269,7.0,0.0
270,0.0,30.0
271,7.0,19.0
272,7.0,19.0
273,7.0,19.0
274,3.0,13.0
275,1.0,2.0
276,1.0,2.0
277,1.0,2.0
278,26.0,19.0
279,26.0,19.0
280,3.0,3.0
281,3.0,3.0
282,26.0,19.0
283,58.0,180.0
284,58.0,180.0
285,58.0,180.0
286,58.0,180.0
287,0.0,14.0
288,0.0,14.0
289,0.0,14.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,1.0,1.0
294,1.0,1.0
295,40.0,30.0
296,0.0,2.0
297,0.0,2.0
298,40.0,30.0
299,7.0,8.0
300,50.0,22.0
301,50.0,22.0
302,50.0,22.0
303,50.0,22.0
304,50.0,22.0
305,50.0,22.0
306,7.0,8.0
307,7.0,8.0
308,7.0,8.0
309,7.0,8.0
310,26.0,47.0
311,26.0,47.0
312,26.0,47.0
313,0.0,4.0
314,26.0,47.0
315,0.0,4.0
316,26.0,47.0
317,2.0,0.0
318,10.0,26.0
319,53.0,68.0
320,53.0,68.0
321,53.0,68.0
322,53.0,68.0
323,53.0,68.0
324,53.0,68.0
325,53.0,68.0
326,53.0,68.0
327,53.0,68.0
328,53.0,68.0
329,53.0,68.0
330,15.0,14.0
331,15.0,14.0
332,15.0,14.0
333,15.0,14.0
334,15.0,14.0
335,15.0,14.0
336,15.0,14.0
337,15.0,14.0
338,0.0,1.0
339,1.0,0.0
340,0.0,2.0
341,11.0,7.0
342,11.0,7.0
343,11.0,7.0
344,11.0,7.0
345,11.0,7.0
346,11.0,7.0
347,6.0,6.0
348,1.0,9.0
349,1.0,9.0
350,10.0,9.0
351,10.0,9.0
352,3.0,2.0
353,3.0,2.0
354,3.0,48.0
355,11.0,20.0
356,3.0,48.0
357,11.0,20.0
358,11.0,20.0
359,0.0,0.0
360,3.0,5.0
361,3.0,5.0
362,0.0,12.0
363,0.0,12.0
364,13.0,9.0
365,0.0,0.0
366,0.0,0.0
367,3.0,1.0
368,19.0,73.0
369,19.0,73.0
370,19.0,73.0
371,19.0,73.0
372,19.0,73.0
373,19.0,73.0
374,19.0,73.0
375,14.0,23.0
376,64.0,87.0
377,64.0,87.0
378,64.0,87.0
379,64.0,87.0
380,64.0,87.0
381,64.0,87.0
382,64.0,87.0
383,64.0,87.0
384,64.0,87.0
385,64.0,87.0
386,64.0,87.0
387,64.0,87.0
388,2.0,6.0
389,2.0,6.0
390,30.0,26.0
391,30.0,26.0
392,30.0,26.0
393,30.0,26.0
394,12.0,1.0
395,11.0,13.0
396,11.0,13.0
397,11.0,13.0
398,2.0,4.0
399,11.0,13.0
400,11.0,13.0
401,3.0,6.0
402,3.0,6.0
403,0.0,4.0
404,0.0,4.0
405,40.0,26.0
406,40.0,26.0
407,40.0,26.0
408,40.0,26.0
409,24.0,12.0
410,24.0,12.0
411,24.0,12.0
412,7.0,9.0
413,11.0,13.0
414,11.0,13.0
415,11.0,13.0
416,11.0,13.0
417,11.0,13.0
418,25.0,25.0
419,25.0,25.0
420,1.0,6.0
421,1.0,4.0
422,6.0,5.0
423,11.0,12.0
424,0.0,0.0
425,11.0,12.0
426,19.0,49.0
427,0.0,2.0
428,19.0,49.0
429,19.0,49.0
430,19.0,49.0
431,32.0,28.0
432,32.0,28.0
433,32.0,28.0
434,32.0,28.0
435,32.0,28.0
436,32.0,28.0
437,32.0,28.0
438,10.0,9.0
439,0.0,0.0
440,0.0,0.0
441,1.0,4.0
442,2.0,6.0
443,2.0,6.0
444,0.0,3.0
445,3.0,27.0
446,5.0,6.0
447,0.0,0.0
448,0.0,0.0
449,0.0,0.0
450,0.0,0.0
451,0.0,0.0
452,106.0,38.0
453,106.0,38.0
454,106.0,38.0
455,106.0,38.0
456,106.0,38.0
457,15.0,14.0
458,58.0,19.0
459,58.0,19.0
460,58.0,19.0
461,58.0,19.0
462,58.0,19.0
463,9.0,13.0
464,9.0,13.0
465,1.0,24.0
466,9.0,13.0
467,21.0,29.0
468,21.0,29.0
469,0.0,0.0
470,21.0,29.0
471,1.0,1.0
472,16.0,31.0
473,16.0,31.0
474,16.0,31.0
475,16.0,31.0
476,16.0,31.0
477,5.0,12.0
478,5.0,12.0
479,2.0,26.0
480,0.0,7.0
481,0.0,7.0
482,0.0,30.0
483,0.0,30.0
484,0.0,30.0
485,0.0,30.0
486,0.0,30.0
487,0.0,30.0
488,3.0,2.0
489,1.0,3.0
490,15.0,18.0
491,15.0,18.0
492,15.0,18.0
493,15.0,18.0
494,15.0,18.0
495,15.0,18.0
496,6.0,29.0
497,6.0,29.0
498,6.0,29.0
499,2.0,25.0
500,2.0,25.0
501,9.0,27.0
502,9.0,27.0
503,6.0,6.0
504,12.0,10.0
505,0.0,12.0
506,0.0,12.0
507,0.0,12.0
508,0.0,0.0
509,0.0,12.0
510,2.0,19.0
511,8.0,4.0
512,5.0,20.0
513,19.0,38.0
514,17.0,58.0
515,17.0,58.0
516,17.0,58.0
517,17.0,58.0
518,17.0,58.0
519,17.0,58.0
520,15.0,167.0
521,15.0,167.0
522,9.0,15.0
523,1.0,23.0
524,9.0,15.0
525,9.0,16.0
526,9.0,1.0
527,15.0,15.0
528,0.0,28.0
529,36.0,37.0
530,36.0,37.0
531,36.0,37.0
532,36.0,37.0
533,14.0,26.0
534,0.0,0.0
535,0.0,0.0
536,55.0,88.0
537,55.0,88.0
538,55.0,88.0
539,55.0,88.0
540,55.0,88.0
541,55.0,88.0
542,55.0,88.0
543,55.0,88.0
544,55.0,88.0
545,55.0,88.0
546,55.0,88.0
547,55.0,88.0
548,55.0,88.0
549,55.0,88.0
550,0.0,4.0
551,0.0,4.0
552,55.0,88.0
553,55.0,88.0
554,55.0,88.0
555,0.0,40.0
556,9.0,65.0
557,9.0,65.0
558,9.0,65.0
559,0.0,21.0
560,10.0,8.0
561,10.0,8.0
562,0.0,1.0
563,3.0,32.0
564,18.0,8.0
565,18.0,8.0
566,18.0,8.0
567,0.0,3.0
568,0.0,3.0
569,23.0,50.0
570,1.0,43.0
571,0.0,8.0
572,0.0,8.0
573,1.0,43.0
574,1.0,43.0
575,0.0,4.0
576,18.0,21.0
577,16.0,58.0
578,16.0,58.0
579,16.0,58.0
580,16.0,58.0
581,6.0,17.0
582,6.0,17.0
583,6.0,17.0
584,6.0,17.0
585,2.0,2.0
586,6.0,17.0
587,6.0,17.0
588,20.0,22.0
589,20.0,22.0
590,20.0,22.0
591,20.0,22.0
592,20.0,22.0
593,20.0,22.0
594,24.0,22.0
595,24.0,22.0
596,24.0,22.0
597,24.0,22.0
598,24.0,22.0
599,49.0,72.0
600,49.0,72.0
601,49.0,72.0
602,49.0,72.0
603,49.0,72.0
604,49.0,72.0
605,49.0,72.0
606,49.0,72.0
607,49.0,72.0
608,0.0,1.0
609,1.0,33.0
610,1.0,33.0
611,1.0,33.0
612,38.0,24.0
613,38.0,24.0
614,38.0,24.0
615,50.0,58.0
616,50.0,58.0
617,16.0,1.0
618,16.0,1.0
619,16.0,1.0
620,16.0,1.0
621,16.0,1.0
622,16.0,1.0
623,16.0,1.0
624,16.0,1.0
625,16.0,1.0
626,16.0,1.0
627,16.0,1.0
628,16.0,1.0
629,0.0,1.0
630,7.0,10.0
631,7.0,10.0
632,7.0,10.0
633,7.0,10.0
634,7.0,10.0
635,19.0,14.0
636,0.0,0.0
637,15.0,29.0
638,8.0,4.0
639,8.0,4.0
640,8.0,4.0
641,8.0,4.0
642,8.0,4.0
643,0.0,10.0
644,0.0,0.0
645,0.0,10.0
646,5.0,19.0
647,5.0,17.0
648,5.0,17.0
649,5.0,17.0
650,23.0,40.0
651,23.0,40.0
652,0.0,19.0
653,0.0,2.0
654,0.0,2.0
655,0.0,19.0
656,0.0,2.0
657,0.0,2.0
658,0.0,2.0
659,0.0,2.0
660,0.0,2.0
661,0.0,0.0
662,0.0,2.0
663,0.0,19.0
664,0.0,2.0
665,3.0,10.0
666,3.0,10.0
667,1.0,11.0
668,1.0,11.0
669,13.0,82.0
670,13.0,82.0
671,6.0,8.0
672,6.0,8.0
673,11.0,16.0
674,11.0,16.0
675,10.0,7.0
676,10.0,7.0
677,10.0,7.0
678,15.0,13.0
679,9.0,22.0
680,3.0,29.0
681,3.0,29.0
682,1.0,6.0
683,0.0,0.0
684,1.0,5.0
685,4.0,0.0
686,0.0,4.0
687,8.0,7.0
688,8.0,7.0
689,8.0,7.0
690,8.0,7.0
691,8.0,7.0
692,8.0,7.0
693,8.0,7.0
694,5.0,3.0
695,0.0,2.0
696,3.0,6.0
697,3.0,6.0
698,3.0,6.0
699,0.0,0.0
700,1.0,0.0
701,0.0,0.0
702,13.0,11.0
703,13.0,11.0
704,8.0,4.0
705,1.0,2.0
706,27.0,10.0
707,27.0,10.0
708,14.0,25.0
709,14.0,25.0
710,0.0,7.0
711,2.0,14.0
712,12.0,4.0
713,12.0,4.0
714,2.0,14.0
715,12.0,4.0
716,12.0,4.0
717,12.0,4.0
718,2.0,14.0
719,12.0,4.0
720,12.0,4.0
721,12.0,4.0
722,2.0,14.0
723,0.0,0.0
724,0.0,0.0
725,0.0,5.0
726,10.0,2.0
727,10.0,2.0
728,2.0,16.0
729,2.0,16.0
730,18.0,5.0
731,18.0,5.0
732,45.0,63.0
733,45.0,63.0
734,45.0,63.0
735,45.0,63.0
736,45.0,63.0
737,21.0,14.0
738,21.0,14.0
739,9.0,5.0
740,0.0,0.0
741,0.0,0.0
742,26.0,22.0
743,26.0,22.0
744,26.0,22.0
745,26.0,22.0
746,17.0,27.0
747,12.0,15.0
748,12.0,15.0
749,12.0,15.0
750,12.0,15.0
751,3.0,10.0
752,19.0,3.0
753,19.0,3.0
754,19.0,3.0
755,19.0,3.0
756,19.0,3.0
757,19.0,3.0
758,19.0,3.0
759,19.0,3.0
760,0.0,0.0
761,19.0,3.0
762,19.0,3.0
763,7.0,4.0
764,7.0,4.0
765,7.0,4.0
766,7.0,4.0
767,7.0,4.0
768,8.0,6.0
769,15.0,6.0
770,0.0,5.0
771,29.0,50.0
772,7.0,5.0
773,7.0,5.0
774,0.0,5.0
775,7.0,5.0
776,7.0,5.0
777,0.0,5.0
778,0.0,5.0
779,5.0,64.0
780,5.0,64.0
781,5.0,64.0
782,5.0,64.0
783,4.0,10.0
784,4.0,10.0
785,4.0,10.0
786,0.0,0.0
787,0.0,0.0
788,0.0,0.0
789,0.0,0.0
790,0.0,0.0
791,40.0,22.0
792,40.0,22.0
793,0.0,0.0
794,40.0,22.0
795,40.0,22.0
796,40.0,22.0
797,40.0,22.0
798,40.0,22.0
799,40.0,22.0
800,0.0,2.0
801,0.0,2.0
802,40.0,22.0
803,40.0,22.0
804,40.0,22.0
805,40.0,22.0
806,40.0,22.0
807,40.0,22.0
808,40.0,22.0
809,40.0,22.0
810,40.0,22.0
811,40.0,22.0
812,0.0,1.0
813,0.0,1.0
814,2.0,48.0
815,22.0,10.0
816,2.0,48.0
817,0.0,2.0
818,0.0,2.0
819,14.0,17.0
820,22.0,10.0
821,14.0,17.0
822,0.0,9.0
823,0.0,9.0
824,9.0,27.0
825,9.0,27.0
826,9.0,27.0
827,0.0,9.0
828,9.0,27.0
829,9.0,27.0
830,9.0,27.0
831,9.0,27.0
832,9.0,27.0
833,0.0,9.0
834,9.0,27.0
835,9.0,27.0
836,9.0,27.0
837,0.0,7.0
838,11.0,17.0
839,11.0,17.0
840,11.0,17.0
841,11.0,17.0
842,11.0,17.0
843,11.0,17.0
844,11.0,17.0
845,11.0,17.0
846,11.0,17.0
847,11.0,17.0
848,11.0,17.0
849,0.0,0.0
850,35.0,79.0
851,35.0,79.0
852,35.0,79.0
853,35.0,79.0
854,35.0,79.0
855,35.0,79.0
856,34.0,16.0
857,34.0,16.0
858,34.0,16.0
859,34.0,16.0
860,34.0,16.0
861,34.0,16.0
862,34.0,16.0
863,34.0,16.0
864,34.0,16.0
865,31.0,20.0
866,31.0,20.0
867,0.0,0.0
868,0.0,0.0
869,15.0,4.0
870,15.0,4.0
871,15.0,4.0
872,15.0,4.0
873,15.0,4.0
874,15.0,4.0
875,15.0,4.0
876,15.0,4.0
877,15.0,4.0
878,15.0,4.0
879,15.0,4.0
880,15.0,4.0
881,15.0,4.0
882,1.0,0.0
883,1.0,0.0
884,15.0,4.0
885,15.0,4.0
886,2.0,4.0
887,17.0,26.0
888,17.0,26.0
889,17.0,26.0
890,17.0,26.0
891,7.0,35.0
892,7.0,35.0
893,7.0,35.0
894,7.0,35.0
895,7.0,35.0
896,7.0,35.0
897,4.0,0.0
898,1.0,1.0
899,0.0,0.0
900,5.0,5.0
901,5.0,5.0
902,5.0,5.0
903,0.0,0.0
904,0.0,0.0
905,0.0,0.0
906,0.0,10.0
907,6.0,7.0
908,6.0,7.0
909,6.0,7.0
910,0.0,10.0
911,6.0,7.0
912,36.0,9.0
913,36.0,9.0
914,61.0,21.0
915,61.0,21.0
916,61.0,21.0
917,61.0,21.0
918,61.0,21.0
919,61.0,21.0
920,61.0,21.0
921,61.0,21.0
922,61.0,21.0
923,61.0,21.0
924,61.0,21.0
925,61.0,21.0
926,2.0,3.0
927,0.0,0.0
928,13.0,17.0
929,0.0,0.0
930,0.0,0.0
931,29.0,18.0
932,29.0,18.0
933,0.0,0.0
934,1.0,10.0
935,1.0,10.0
936,22.0,32.0
937,22.0,32.0
938,17.0,10.0
939,13.0,9.0
940,17.0,10.0
941,0.0,14.0
942,13.0,9.0
943,0.0,14.0
944,13.0,9.0
945,13.0,9.0
946,17.0,10.0
947,13.0,9.0
948,13.0,9.0
949,7.0,10.0
950,7.0,10.0
951,7.0,10.0
952,7.0,10.0
953,7.0,10.0
954,7.0,10.0
955,14.0,23.0
956,14.0,23.0
957,14.0,23.0
958,10.0,5.0
959,10.0,5.0
960,27.0,24.0
961,27.0,24.0
962,27.0,24.0
963,6.0,4.0
964,4.0,37.0
965,2.0,2.0
966,56.0,34.0
967,56.0,34.0
968,56.0,34.0
969,56.0,34.0
970,56.0,34.0
971,56.0,34.0
972,56.0,34.0
973,56.0,34.0
974,6.0,18.0
975,6.0,18.0
976,1.0,1.0
977,3.0,1.0
978,7.0,3.0
979,0.0,2.0
980,1.0,7.0
981,80.0,39.0
982,27.0,24.0
983,2.0,8.0
984,2.0,8.0
985,12.0,30.0
986,12.0,30.0
987,12.0,30.0
988,0.0,0.0
989,0.0,0.0
990,12.0,30.0
991,12.0,30.0
992,12.0,30.0
993,19.0,12.0
994,0.0,1.0
995,6.0,6.0
996,8.0,21.0
997,8.0,21.0
998,8.0,21.0
999,8.0,21.0
1000,8.0,21.0
1001,8.0,21.0
1002,8.0,21.0
1003,1.0,25.0
1004,1.0,0.0
1005,49.0,10.0
1006,9.0,23.0
1007,9.0,23.0
1008,9.0,23.0
1009,23.0,26.0
1010,23.0,26.0
1011,23.0,26.0
1012,0.0,0.0
1013,0.0,3.0
1014,0.0,2.0
1015,0.0,2.0
1016,1.0,3.0
1017,0.0,2.0
1018,1.0,3.0
1019,1.0,8.0
1020,16.0,24.0
1021,16.0,24.0
1022,16.0,24.0
1023,16.0,24.0
1024,16.0,24.0
1025,16.0,24.0
1026,16.0,24.0
1027,0.0,2.0
1028,0.0,19.0
1029,0.0,4.0
1030,2.0,9.0
1031,4.0,30.0
1032,20.0,179.0
1033,20.0,179.0
1034,20.0,179.0
1035,20.0,179.0
1036,20.0,179.0
1037,20.0,179.0
1038,0.0,0.0
1039,12.0,8.0
1040,1.0,7.0
1041,1.0,7.0
1042,5.0,6.0
1043,5.0,6.0
1044,5.0,6.0
1045,5.0,6.0
1046,5.0,6.0
1047,5.0,6.0
1048,0.0,0.0
1049,0.0,0.0
1050,5.0,6.0
1051,31.0,71.0
1052,31.0,71.0
1053,31.0,71.0
1054,31.0,71.0
1055,31.0,71.0
1056,31.0,71.0
1057,31.0,71.0
1058,31.0,71.0
1059,31.0,71.0
1060,31.0,71.0
1061,31.0,71.0
1062,31.0,71.0
1063,31.0,71.0
1064,31.0,71.0
1065,31.0,71.0
1066,31.0,71.0
1067,31.0,71.0
1068,31.0,71.0
1069,22.0,20.0
1070,22.0,20.0
1071,22.0,20.0
1072,22.0,20.0
1073,9.0,1.0
1074,8.0,36.0
1075,0.0,1.0
1076,0.0,1.0
1077,0.0,1.0
1078,0.0,1.0
1079,0.0,1.0
1080,0.0,1.0
1081,12.0,10.0
1082,12.0,10.0
1083,12.0,10.0
1084,0.0,15.0
1085,21.0,108.0
1086,21.0,108.0
1087,21.0,108.0
1088,21.0,108.0
1089,21.0,108.0
1090,21.0,108.0
1091,21.0,108.0
1092,21.0,108.0
1093,21.0,108.0
1094,21.0,108.0
1095,21.0,108.0
1096,21.0,108.0
1097,21.0,108.0
1098,21.0,108.0
1099,21.0,108.0
1100,21.0,108.0
1101,21.0,108.0
1102,21.0,108.0
1103,13.0,28.0
1104,4.0,12.0
1105,18.0,7.0
1106,62.0,11.0
1107,62.0,11.0
1108,62.0,11.0
1109,62.0,11.0
1110,1.0,6.0
1111,62.0,11.0
1112,43.0,37.0
1113,43.0,37.0
1114,43.0,37.0
1115,0.0,0.0
1116,6.0,0.0
1117,17.0,14.0
1118,17.0,14.0
1119,17.0,14.0
1120,17.0,14.0
1121,5.0,3.0
1122,4.0,12.0
1123,1.0,14.0
1124,1.0,14.0
1125,9.0,6.0
1126,9.0,6.0
1127,2.0,4.0
1128,2.0,4.0
1129,2.0,4.0
1130,2.0,4.0
1131,2.0,4.0
1132,3.0,0.0
1133,14.0,13.0
1134,14.0,13.0
1135,14.0,13.0
1136,14.0,13.0
1137,13.0,13.0
1138,13.0,13.0
1139,13.0,13.0
1140,13.0,13.0
1141,31.0,17.0
1142,31.0,17.0
1143,31.0,17.0
1144,31.0,17.0
1145,0.0,0.0
1146,22.0,21.0
1147,22.0,21.0
1148,22.0,21.0
1149,0.0,1.0
1150,30.0,11.0
1151,3.0,18.0
1152,3.0,18.0
1153,16.0,7.0
1154,7.0,16.0
1155,7.0,16.0
1156,1.0,2.0
1157,38.0,133.0
1158,1.0,27.0
1159,1.0,27.0
1160,1.0,27.0
1161,3.0,5.0
1162,38.0,133.0
1163,1.0,27.0
1164,1.0,27.0
1165,1.0,27.0
1166,38.0,133.0
1167,1.0,27.0
1168,1.0,27.0
1169,1.0,27.0
1170,0.0,8.0
1171,7.0,42.0
1172,10.0,22.0
1173,10.0,22.0
1174,8.0,3.0
1175,4.0,13.0
1176,4.0,13.0
1177,4.0,13.0
1178,4.0,13.0
1179,8.0,7.0
1180,3.0,3.0
1181,0.0,0.0
1182,1.0,0.0
1183,49.0,52.0
1184,49.0,52.0
1185,49.0,52.0
1186,49.0,52.0
1187,19.0,13.0
1188,7.0,3.0
1189,0.0,2.0
1190,0.0,2.0
1191,13.0,40.0
1192,13.0,40.0
1193,13.0,40.0
1194,12.0,17.0
1195,13.0,15.0
1196,13.0,15.0
1197,13.0,15.0
1198,40.0,69.0
1199,40.0,69.0
1200,40.0,69.0
1201,40.0,69.0
1202,40.0,69.0
1203,40.0,69.0
1204,40.0,69.0
1205,40.0,69.0
1206,61.0,86.0
1207,61.0,86.0
1208,0.0,19.0
1209,0.0,19.0
1210,61.0,86.0
1211,61.0,86.0
1212,61.0,86.0
1213,61.0,86.0
1214,61.0,86.0
1215,61.0,86.0
1216,61.0,86.0
1217,61.0,86.0
1218,61.0,86.0
1219,61.0,86.0
1220,61.0,86.0
1221,61.0,86.0
1222,61.0,86.0
1223,61.0,86.0
1224,61.0,86.0
1225,61.0,86.0
1226,61.0,86.0
1227,61.0,86.0
1228,61.0,86.0
1229,61.0,86.0
1230,61.0,86.0
1231,61.0,86.0
1232,61.0,86.0
1233,61.0,86.0
1234,61.0,86.0
1235,61.0,86.0
1236,1.0,0.0
1237,61.0,86.0
1238,21.0,31.0
1239,10.0,12.0
1240,21.0,31.0
1241,21.0,31.0
1242,21.0,31.0
1243,3.0,9.0
1244,3.0,9.0
1245,3.0,9.0
1246,7.0,16.0
1247,19.0,95.0
1248,19.0,95.0
1249,19.0,95.0
1250,19.0,95.0
1251,19.0,95.0
1252,19.0,95.0
1253,0.0,0.0
1254,0.0,29.0
1255,11.0,18.0
1256,11.0,18.0
1257,11.0,18.0
1258,11.0,18.0
1259,1.0,1.0
1260,11.0,18.0
1261,11.0,18.0
1262,19.0,20.0
1263,19.0,20.0
1264,8.0,0.0
1265,0.0,1.0
1266,58.0,81.0
1267,0.0,0.0
1268,58.0,81.0
1269,58.0,81.0
1270,2.0,21.0
1271,2.0,21.0
1272,12.0,0.0
1273,0.0,6.0
1274,0.0,6.0
1275,7.0,11.0
1276,10.0,23.0
1277,10.0,23.0
1278,4.0,84.0
1279,4.0,84.0
1280,4.0,84.0
1281,4.0,84.0
1282,4.0,84.0
1283,10.0,23.0
1284,10.0,23.0
1285,7.0,13.0
1286,7.0,13.0
1287,1.0,0.0
1288,0.0,1.0
1289,0.0,1.0
1290,0.0,1.0
1291,0.0,1.0
1292,0.0,1.0
1293,0.0,1.0
1294,21.0,21.0
1295,14.0,33.0
1296,14.0,33.0
1297,14.0,33.0
1298,0.0,0.0
1299,31.0,73.0
1300,31.0,73.0
1301,0.0,52.0
1302,31.0,73.0
1303,0.0,52.0
1304,31.0,73.0
1305,31.0,73.0
1306,31.0,73.0
1307,7.0,10.0
1308,7.0,10.0
1309,7.0,10.0
1310,7.0,10.0
1311,7.0,10.0
1312,7.0,10.0
1313,7.0,10.0
1314,7.0,10.0
1315,0.0,0.0
1316,7.0,21.0
1317,7.0,21.0
1318,7.0,21.0
1319,7.0,21.0
1320,7.0,21.0
1321,7.0,21.0
1322,4.0,39.0
1323,4.0,39.0
1324,4.0,39.0
1325,4.0,39.0
1326,4.0,39.0
1327,18.0,33.0
1328,18.0,33.0
1329,0.0,0.0
1330,18.0,33.0
1331,18.0,33.0
1332,40.0,15.0
1333,40.0,15.0
1334,40.0,15.0
1335,2.0,0.0
1336,2.0,0.0
1337,2.0,0.0
1338,5.0,4.0
1339,5.0,4.0
1340,11.0,6.0
1341,11.0,6.0
1342,11.0,6.0
1343,11.0,6.0
1344,11.0,6.0
1345,11.0,6.0
1346,3.0,10.0
1347,5.0,6.0
1348,5.0,6.0
1349,5.0,6.0
1350,5.0,6.0
1351,27.0,88.0
1352,27.0,88.0
1353,27.0,88.0
1354,27.0,88.0
1355,27.0,88.0
1356,8.0,8.0
1357,8.0,8.0
1358,8.0,8.0
